n,annee
119,1380
7538,1519
85,1545
122,1546
2266,1547
79,1549
1418,1550
4228,1551
1097,1552
783,1554
938,1556
156,1557
306,1559
1923,1561
141,1562
211,1563
96,1564
426,1566
265,1567
238,1568
8252,1569
1488,1570
478,1571
1572,1572
4332,1573
6226,1574
10454,1576
77,1578
65,1580
2881,1581
150,1582
151,1583
46,1584
3571,1585
2644,1586
5247,1587
16131,1588
1921,1589
751,1590
2467,1591
1040,1592
2999,1593
2584,1595
13275,1596
2579,1597
4,1598
6817,1599
22517,1600
9927,1601
12864,1602
22277,1603
35211,1604
43249,1605
18131,1606
19649,1607
50759,1608
39138,1609
73686,1610
47808,1611
33051,1612
37678,1613
62016,1614
74128,1615
54684,1616
44435,1617
69256,1618
52511,1619
39186,1620
65762,1621
43586,1622
26582,1623
49561,1624
35042,1625
38050,1626
56954,1627
64198,1628
65264,1629
28922,1630
60433,1631
43147,1632
46123,1633
35137,1634
69486,1635
63167,1636
91267,1637
107133,1638
64853,1639
53221,1640
63557,1641
68901,1642
135942,1643
112999,1644
96091,1645
93103,1646
79798,1647
56787,1648
84353,1649
79631,1650
81330,1651
65938,1652
117252,1653
58565,1654
74464,1655
70123,1656
65170,1657
28281,1658
58442,1659
80778,1660
127512,1661
61473,1662
89910,1663
131131,1664
96111,1665
123985,1666
75386,1667
72717,1668
24158,1669
35645,1670
110004,1671
24091,1672
55159,1673
44595,1674
109449,1675
53644,1676
72110,1677
51516,1678
81333,1679
77546,1680
83529,1681
99051,1682
246887,1683
130369,1684
166515,1685
73736,1686
112664,1687
92838,1688
86077,1689
87610,1690
143827,1691
28041,1692
393274,1693
145073,1694
138474,1695
130818,1696
184331,1697
95085,1698
179113,1699
210890,1700
376943,1701
229412,1702
144305,1703
120162,1704
155654,1705
146209,1706
109032,1707
162364,1708
104370,1709
167652,1710
106771,1711
185463,1712
115741,1713
404927,1714
263422,1715
205274,1716
123077,1717
318271,1718
390056,1719
122321,1720
137978,1721
120931,1722
278116,1723
875004,1724
302173,1725
187701,1726
225806,1727
222643,1728
326492,1729
198802,1730
157415,1731
349671,1732
245334,1733
573971,1734
597351,1735
173718,1736
367428,1737
678983,1738
378168,1739
327830,1740
223847,1741
896557,1742
192748,1743
373492,1744
233765,1745
223466,1746
160876,1747
282654,1748
265227,1749
485221,1750
573782,1751
350098,1752
415795,1753
598506,1754
564698,1755
509276,1756
640772,1757
503645,1758
796596,1759
453105,1760
410704,1761
519556,1762
385676,1763
374126,1764
345603,1765
422382,1766
522117,1767
587260,1768
578071,1769
800707,1770
759537,1771
927808,1772
439440,1773
517393,1774
1159910,1775
725013,1776
1172596,1777
1142139,1778
797499,1779
1002336,1780
783101,1781
1188552,1782
1167631,1783
1045141,1784
974575,1785
1228743,1786
1364213,1787
1017529,1788
867482,1789
639873,1790
629891,1791
773290,1792
659018,1793
472693,1794
447679,1795
