n,annee
4872,1642
2371,1644
1217,1647
758,1649
10220,1651
476,1654
837,1656
4221,1657
3006,1661
1358,1662
3389,1663
967,1667
6124,1668
947,1669
2783,1671
659,1672
587,1674
1598,1675
1416,1676
6918,1678
14676,1679
14608,1680
11623,1681
9476,1682
10725,1683
10164,1684
11514,1685
11517,1686
9600,1687
12767,1688
16372,1689
10357,1690
12272,1691
8857,1692
10451,1693
11174,1694
21939,1695
10281,1696
32559,1697
23592,1698
56277,1699
13659,1700
17470,1701
21648,1702
20087,1703
22205,1704
20528,1705
25396,1706
16502,1707
16692,1708
20047,1709
12213,1710
13080,1711
9976,1712
8410,1713
10831,1714
9752,1715
9178,1716
28033,1717
32189,1718
30911,1719
25119,1720
27039,1721
22034,1722
19730,1723
20338,1724
19748,1725
27248,1726
18791,1727
19357,1728
21642,1729
22461,1730
25478,1731
17528,1732
26368,1733
31894,1734
35616,1735
26879,1736
24994,1737
18578,1738
22766,1739
27373,1740
37393,1741
27707,1742
38895,1743
33603,1744
29032,1745
26921,1746
37448,1747
38581,1748
34923,1749
39206,1750
23517,1751
34211,1752
32543,1753
38926,1754
45598,1755
49123,1756
58925,1757
52252,1758
36679,1759
63723,1760
55125,1761
52688,1762
41103,1763
28690,1764
39668,1765
38485,1766
38959,1767
38015,1768
35734,1769
48193,1770
50745,1771
45163,1772
82502,1773
88847,1774
87701,1775
66399,1776
90360,1777
91630,1778
85668,1779
85794,1780
90744,1781
85499,1782
77049,1783
52917,1784
64910,1785
69622,1786
82702,1787
82542,1788
238444,1789
395628,1790
805235,1791
756572,1792
778056,1793
670361,1794
461095,1795
618098,1796
754175,1797
748295,1798
592101,1799
458044,1800
506027,1801
601641,1802
558204,1803
585597,1804
501207,1805
503436,1806
517457,1807
424991,1808
521932,1809
485784,1810
476107,1811
473839,1812
474697,1813
447565,1814
512816,1815
542202,1816
520584,1817
615536,1818
828600,1819
1023414,1820
1179968,1821
1314194,1822
1251674,1823
1143852,1824
1113580,1825
1390358,1826
1317041,1827
1764141,1828
2086299,1829
2150583,1830
2199248,1831
2219703,1832
2565075,1833
2670997,1834
3001722,1835
3289590,1836
3967660,1837
3535471,1838
3377163,1839
3396886,1840
3700028,1841
3749683,1842
3970393,1843
4441143,1844
5044594,1845
4869638,1846
4592203,1847
4854337,1848
5519458,1849
5684851,1850
5589455,1851
4680098,1852
4107837,1853
4118217,1854
4168616,1855
4406964,1856
4871086,1857
4478568,1858
5227990,1859
5399790,1860
5991264,1861
6186851,1862
6731453,1863
6635402,1864
7117672,1865
6802065,1866
6943380,1867
8123481,1868
9996812,1869
10390174,1870
8536638,1871
11676433,1872
12653222,1873
12924500,1874
13586997,1875
14758349,1876
14975014,1877
15197891,1878
16192143,1879
17433442,1880
18429407,1881
20648229,1882
19455911,1883
19532835,1884
19330683,1885
19816143,1886
21012872,1887
21093499,1888
22155730,1889
22628832,1890
23444348,1891
24738009,1892
25813383,1893
26983195,1894
27834837,1895
27814743,1896
28993778,1897
29209183,1898
29532916,1899
30475301,1900
30109160,1901
30539222,1902
31428224,1903
32372579,1904
31799654,1905
32133057,1906
32270436,1907
31281175,1908
30159767,1909
31348500,1910
33166637,1911
34027423,1912
36042491,1913
27114434,1914
18877888,1915
20708279,1916
18729547,1917
18375977,1918
21739381,1919
23978508,1920
26767652,1921
29243176,1922
31292773,1923
30372904,1924
30315241,1925
29912547,1926
30789230,1927
32883925,1928
32627421,1929
32581775,1930
32914439,1931
33357824,1932
34110798,1933
36666065,1934
35975175,1935
35455393,1936
32740773,1937
30340796,1938
23401859,1939
10134185,1940
10208310,1941
8668485,1942
7616545,1943
5086817,1944
3599707,1945
5138008,1946
5537752,1947
5339871,1948
5003920,1949
4843125,1950
2355935,1951
881651,1952
903124,1953
976986,1954
959102,1955
929562,1956
984852,1957
970427,1958
868907,1959
916880,1960
947572,1961
898448,1962
767532,1963
769832,1964
807558,1965
935634,1966
885903,1967
809004,1968
869543,1969
795487,1970
851671,1971
883137,1972
795618,1973
825148,1974
772386,1975
760549,1976
738203,1977
719902,1978
759283,1979
703967,1980
730212,1981
697820,1982
652602,1983
784955,1984
742572,1985
830658,1986
787573,1987
724289,1988
753842,1989
729061,1990
791285,1991
744599,1992
759351,1993
657973,1994
669564,1995
744438,1996
693307,1997
640178,1998
555356,1999
490759,2000
358766,2001
331378,2002
329593,2003
309381,2004
258338,2005
247398,2006
252510,2007
237326,2008
221542,2009
151738,2010
158931,2011
136648,2012
84409,2013
70781,2014
64382,2015
23192,2016
20294,2017
14906,2018
