3669,1944,12
7324,1945,1
6751,1945,2
8772,1945,3
7857,1945,4
9270,1945,5
9538,1945,6
10527,1945,7
9897,1945,8
10489,1945,9
10676,1945,10
12238,1945,11
13245,1945,12
11275,1946,1
11222,1946,2
12276,1946,3
12042,1946,4
12113,1946,5
13650,1946,6
18199,1946,7
18541,1946,8
15738,1946,9
16717,1946,10
14964,1946,11
15072,1946,12
13610,1947,1
6926,1947,2
6819,1947,3
15706,1947,4
15229,1947,5
14306,1947,6
15932,1947,7
14490,1947,8
14387,1947,9
14883,1947,10
13573,1947,11
9206,1947,12
15458,1948,1
13844,1948,2
16116,1948,3
15055,1948,4
14976,1948,5
15781,1948,6
16344,1948,7
16181,1948,8
14980,1948,9
15795,1948,10
15021,1948,11
18241,1948,12
15938,1949,1
14595,1949,2
16742,1949,3
17077,1949,4
18309,1949,5
17156,1949,6
17346,1949,7
17056,1949,8
16797,1949,9
20356,1949,10
18286,1949,11
21287,1949,12
20083,1950,1
16640,1950,2
19274,1950,3
18831,1950,4
20566,1950,5
21067,1950,6
21591,1950,7
17827,1950,8
18298,1950,9
21254,1950,10
21049,1950,11
22667,1950,12
21144,1951,1
18551,1951,2
22265,1951,3
19245,1951,4
21064,1951,5
20222,1951,6
21517,1951,7
16086,1951,8
22169,1951,9
20490,1951,10
18767,1951,11
21114,1951,12
22223,1952,1
20678,1952,2
21273,1952,3
21429,1952,4
23558,1952,5
24602,1952,6
23940,1952,7
21868,1952,8
23571,1952,9
23939,1952,10
22584,1952,11
25592,1952,12
23117,1953,1
19857,1953,2
21253,1953,3
22426,1953,4
21558,1953,5
25092,1953,6
27523,1953,7
23016,1953,8
23741,1953,9
28356,1953,10
26870,1953,11
27717,1953,12
25757,1954,1
22758,1954,2
26542,1954,3
26332,1954,4
28267,1954,5
30670,1954,6
25584,1954,7
25507,1954,8
23749,1954,9
29399,1954,10
26899,1954,11
31161,1954,12
23670,1955,1
23927,1955,2
27335,1955,3
24258,1955,4
25546,1955,5
26585,1955,6
24732,1955,7
25684,1955,8
24817,1955,9
26434,1955,10
25438,1955,11
27211,1955,12
22474,1956,1
22834,1956,2
25670,1956,3
25507,1956,4
27471,1956,5
24548,1956,6
24588,1956,7
22875,1956,8
23964,1956,9
27812,1956,10
27263,1956,11
26134,1956,12
25516,1957,1
22048,1957,2
26002,1957,3
24508,1957,4
25419,1957,5
25312,1957,6
24321,1957,7
22457,1957,8
23316,1957,9
25368,1957,10
26885,1957,11
25026,1957,12
24940,1958,1
22322,1958,2
25290,1958,3
24394,1958,4
26234,1958,5
25219,1958,6
25927,1958,7
22320,1958,8
25229,1958,9
25159,1958,10
24922,1958,11
23096,1958,12
24413,1959,1
22987,1959,2
23618,1959,3
23706,1959,4
23182,1959,5
23660,1959,6
26436,1959,7
23018,1959,8
25286,1959,9
24351,1959,10
23636,1959,11
27764,1959,12
23917,1960,1
26169,1960,2
26578,1960,3
21887,1960,4
24183,1960,5
23736,1960,6
26616,1960,7
20688,1960,8
25828,1960,9
23586,1960,10
24791,1960,11
25127,1960,12
24777,1961,1
23124,1961,2
23823,1961,3
24697,1961,4
22493,1961,5
22241,1961,6
25534,1961,7
24554,1961,8
23494,1961,9
22738,1961,10
23262,1961,11
24698,1961,12
27043,1962,1
23721,1962,2
28961,1962,3
26553,1962,4
29736,1962,5
29158,1962,6
26207,1962,7
22120,1962,8
26012,1962,9
32414,1962,10
27252,1962,11
30363,1962,12
28190,1963,1
24370,1963,2
28760,1963,3
25850,1963,4
