"neg"
"abandon"
"abandonna"
"abandonnant"
"abandonnas"
"abandonne"
"abandonner"
"abandonnerez"
"abandonnes"
"abandonnez"
"abandons"
"abasourdi"
"abasourdir"
"abasourdirent"
"abasourdirez"
"abasourdis"
"abasourdit"
"abat"
"abats"
"abattez"
"abattre"
"abattrez"
"abhorra"
"abhorrant"
"abhorras"
"abhorre"
"abhorrent"
"abhorrer"
"abhorrerez"
"abhorres"
"abhorrez"
"abîma"
"abîmant"
"abîmas"
"abîme"
"abîmer"
"abîmerez"
"abîmes"
"abîmez"
"abominable"
"abominablement"
"abominables"
"abrupt"
"abruptement"
"abrupts"
"abrutir"
"abrutirez"
"abrutis"
"abrutissez"
"abrutit"
"abus"
"abusa"
"abusant"
"abusas"
"abuse"
"abuser"
"abuserez"
"abuses"
"abusez"
"abusive"
"abusivement"
"abusives"
"accabla"
"accablas"
"accable"
"accabler"
"accablerez"
"accables"
"accablez"
"accro"
"accrocha"
"accrochant"
"accrochas"
"accroche"
"accrocher"
"accrocherez"
"accroches"
"accrochez"
"accros"
"acharna"
"acharnas"
"acharne"
"acharner"
"acharnerez"
"acharnes"
"acharnez"
"affaibli"
"affaiblir"
"affaiblirent"
"affaiblirez"
"affaiblis"
"affaiblit"
"afflige"
"affligea"
"affligeas"
"affliger"
"affligerez"
"affliges"
"affligez"
"affola"
"affolas"
"affole"
"affoler"
"affolerez"
"affoles"
"affolez"
"affreuse"
"affreusement"
"affreuses"
"affreux"
"affront"
"affronts"
"agaça"
"agaças"
"agace"
"agacer"
"agacerez"
"agaces"
"agacez"
"aggressive"
"aggressivement"
"aggressives"
"agita"
"agitant"
"agitas"
"agite"
"agiter"
"agiterez"
"agites"
"agitez"
"agonisa"
"agonisas"
"agonise"
"agoniser"
"agoniserez"
"agonises"
"agonisez"
"agressa"
"agressant"
"agressas"
"agresse"
"agresser"
"agresserez"
"agresses"
"agressez"
"agressiez"
"agression"
"agressions"
"aigre"
"aigrement"
"aigres"
"aigri"
"aigrir"
"aigrirent"
"aigrirez"
"aigris"
"aigrissant"
"aigrit"
"alarma"
"alarmas"
"alarme"
"alarmer"
"alarmerez"
"alarmes"
"alarmez"
"alarmiez"
"alerta"
"alertas"
"alerte"
"alerter"
"alerterez"
"alertes"
"alertez"
"allergisé"
"allergisée"
"allergisées"
"allergiser"
"allergisés"
"amer"
"amers"
"anéanti"
"anéantir"
"anéantirent"
"anéantirez"
"anéantis"
"anéantissent"
"anéantit"
"angoissa"
"angoissas"
"angoisse"
"angoisser"
"angoisserez"
"angoisses"
"angoissez"
"anxieuse"
"anxieusement"
"anxieuses"
"anxieux"
"appréhenda"
"appréhendant"
"appréhendas"
"appréhende"
"appréhender"
"appréhenderez"
"appréhendes"
"appréhendez"
"âprement"
"assaille"
"assailles"
"assaillez"
"assailli"
"assaillie"
"assaillies"
"assailliez"
"assaillir"
"assaillirent"
"assaillirez"
"assaillis"
"assaillit"
"assaillons"
"assassina"
"assassinant"
"assassinas"
"assassine"
"assassiner"
"assassinerez"
"assassines"
"assassinez"
"assomma"
"assommas"
"assomme"
"assommer"
"assommerez"
"assommes"
"assommez"
"assujetti"
"assujettir"
"assujettirent"
"assujettirez"
"assujettis"
"assujettissent"
"assujettissez"
"assujettissons"
"assujettit"
"atroce"
"atrocement"
"atroces"
"attaqua"
"attaquas"
"attaque"
"attaquer"
"attaquerez"
"attaques"
"attaquez"
"atteinte"
"attrista"
"attristas"
"attriste"
"attrister"
"attristerez"
"attristes"
"attristez"
"attrition"
"avaria"
"avariant"
"avarias"
"avarie"
"avarier"
"avarierez"
"avaries"
"avariez"
"aversif"
"aversifs"
"avidement"
"baise"
"banni"
"bannie"
"bannies"
"bannir"
"bannirent"
"bannirez"
"bannis"
"bannissant"
"bannit"
"bassina"
"bassinas"
"bassiner"
"bassinerez"
"bassines"
"bassinez"
"bat"
"batailla"
"bataillant"
"bataillas"
"bataille"
"batailler"
"bataillerez"
"batailles"
"bataillez"
"bats"
"battent"
"battez"
"battons"
"battre"
"battrez"
"bête"
"bêtement"
"bêtes"
"blâma"
"blâmant"
"blâmas"
"blâme"
"blâmer"
"blâmerez"
"blâmes"
"blâmez"
"blessa"
"blessas"
"blesse"
"blesser"
"blesserez"
"blesses"
"blessez"
"borderline"
"bouffon"
"bouilli"
"bouilliez"
"bouillions"
"bouillir"
"bouillirent"
"bouillirez"
"bouillis"
"bous"
"brisa"
"brisant"
"brisas"
"brise"
"briser"
"briserez"
"brises"
"brisez"
"broie"
"broierez"
"broies"
"brouilla"
"brouillas"
"brouille"
"brouiller"
"brouillerez"
"brouilles"
"brouillez"
"broya"
"broyant"
"broyas"
"broyer"
"broyez"
"burnout"
"caindrez"
"cancana"
"cancanant"
"cancanas"
"cancane"
"cancaner"
"cancanerez"
"cancanes"
"cancanez"
"cassa"
"cassas"
"casse"
"casser"
"casserez"
"casses"
"cassez"
"chagrin"
"chagrina"
"chagrinant"
"chagrinas"
"chagrine"
"chagriner"
"chagrinerez"
"chagrines"
"chagrinez"
"chagrins"
"charria"
"charrias"
"charrie"
"charrier"
"charrierez"
"charries"
"charriez"
"charrions"
"châtia"
"châtias"
"châtie"
"châtier"
"châtierez"
"châties"
"châtiez"
"châtions"
"chia"
"chias"
"chie"
"chié"
"chienlit"
"chier"
"chierez"
"chies"
"chiez"
"chiiez"
"chiions"
"choc"
"chocs"
"choqua"
"choquas"
"choque"
"choquer"
"choquerez"
"choques"
"choquez"
"compliqua"
"compliquant"
"compliquas"
"complique"
"compliquer"
"compliquerez"
"compliques"
"compliquez"
"con"
"condamna"
"condamnant"
"condamnas"
"condamne"
"condamner"
"condamnerez"
"condamnes"
"condamnez"
"confronta"
"confrontant"
"confrontas"
"confronte"
"confronter"
"confronterez"
"confrontes"
"confrontez"
"cons"
"contraria"
"contrarias"
"contrarie"
"contrarié"
"contrarier"
"contrarierez"
"contraries"
"contrariés"
"contrariez"
"contrecarra"
"contrecarrant"
"contrecarras"
"contrecarre"
"contrecarrer"
"contrecarrerez"
"contrecarres"
"contrecarrez"
"contredire"
"contredirent"
"contredirez"
"contredis"
"contredisant"
"contredit"
"contredits"
"coup"
"coupa"
"coupas"
"coupe"
"couper"
"couperez"
"coupes"
"coupez"
"coups"
"courbattu"
"courbattus"
"courbatura"
"courbaturas"
"courbature"
"courbaturer"
"courbaturerez"
"courbatures"
"courbaturez"
"craignant"
"craindre"
"crains"
"craint"
"crainte"
"craintes"
"craints"
"cri"
"cria"
"crias"
"crie"
"crier"
"crierez"
"cries"
"criez"
"cris"
"crispa"
"crispas"
"crispe"
"crisper"
"crisperez"
"crispes"
"crispez"
"critiqua"
"critiquas"
"critique"
"critiquer"
"critiquerez"
"critiques"
"critiquez"
"cru"
"crue"
"crues"
"crus"
"culpabilisa"
"culpabilisas"
"culpabilise"
"culpabiliser"
"culpabiliserez"
"culpabilises"
"culpabilisez"
"cupide"
"cupidement"
"cupides"
"cynique"
"cyniquement"
"cyniques"
"damned"
"danger"
"dangereuse"
"dangereusement"
"dangereuses"
"dangereux"
"dangers"
"débecta"
"débectas"
"débecte"
"débecter"
"débecterez"
"débectes"
"débectez"
"décevez"
"décevoir"
"décevrez"
"déconcerta"
"déconcertas"
"déconcerte"
"déconcerter"
"déconcerterez"
"déconcertes"
"déconcertez"
"décourage"
"découragea"
"décourageas"
"décourager"
"découragerez"
"décourages"
"découragez"
"déçu"
"déçue"
"déçues"
"déçurent"
"déçus"
"déçut"
"dédaigna"
"dédaignas"
"dédaigne"
"dédaigner"
"dédaignerez"
"dédaignes"
"dédaignez"
"dégobilla"
"dégobillant"
"dégobillas"
"dégobille"
"dégobiller"
"dégobillerez"
"dégobilles"
"dégobillez"
"dégoût"
"dégoûta"
"dégoûtas"
"dégoûte"
"dégoûter"
"dégoûterez"
"dégoûtes"
"dégoûtez"
"dégoûts"
"dégrada"
"dégradas"
"dégrade"
"dégrader"
"dégraderez"
"dégrades"
"dégradez"
"dégueula"
"dégueulant"
"dégueulas"
"dégueule"
"dégueuler"
"dégueulerez"
"dégueules"
"dégueulez"
"délaissa"
"délaissant"
"délaissas"
"délaisse"
"délaisser"
"délaisserez"
"délaisses"
"délaissez"
"délictueux"
"démant"
"démants"
"démission"
"démissionna"
"démissionnant"
"démissionnas"
"démissionne"
"démissionner"
"démissionnerez"
"démissionnes"
"démissionnez"
"démissions"
"démoralisa"
"démoralisas"
"démoralise"
"démoraliser"
"démoraliserez"
"démoralises"
"démoralisez"
"dépéri"
"dépérir"
"dépérirez"
"dépéris"
"dépérissant"
"dépérissent"
"dépérissez"
"dépérit"
"dépit"
"déposséda"
"dépossédant"
"dépossédas"
"dépossède"
"déposséder"
"dépossèdes"
"dépossédez"
"dépossédrez"
"dépouilla"
"dépouillant"
"dépouillas"
"dépouille"
"dépouiller"
"dépouillerez"
"dépouilles"
"dépouillez"
"déprima"
"déprimas"
"déprime"
"déprimer"
"déprimerez"
"déprimes"
"déprimez"
"dérange"
"dérangea"
"dérangeas"
"déranger"
"dérangerez"
"déranges"
"dérangez"
"désagrége"
"désagrégea"
"désagrégeant"
"désagrégeas"
"désagréger"
"désagrégerez"
"désagrèges"
"désagrégez"
"désapointa"
"désapointas"
"désapointe"
"désapointement"
"désapointer"
"désapointerez"
"désapointes"
"désapointez"
"désarmé"
"désavantage"
"désavantagea"
"désavantageas"
"désavantager"
"désavantagerez"
"désavantages"
"désavantagez"
"désenchanta"
"désenchantant"
"désenchantas"
"désenchante"
"désenchanter"
"désenchanterez"
"désenchantes"
"désenchantez"
"désert"
"désespéra"
"désespérant"
"désespéras"
"désespéré"
"désespérément"
"désespérer"
"désespérerez"
"désespérés"
"désespérez"
"déshérita"
"déshéritant"
